Greater Metropolitan Region (GMR),Greater Sydney,Rings,Local Government Area (LGA),Dwelling Types,Number of Bedrooms,"First Quartile Weekly Rent for New Bonds
$","Median Weekly Rent for New Bonds
$","Third Quartile Weekly Rent for New Bonds
$","New Bonds Lodged
No.","Total Bonds Held
No.",Quarterly change in Median Weekly Rent,Annual change in Median Weekly Rent,Quarterly change in New Bonds Lodged,Annual change in New Bonds Lodged
Total,Greater Sydney,Total,Willoughby,Townhouse,2 Bedrooms,555,618,760,s,183,1.65%,4.66%,0.00%,38.46%
Total,Greater Sydney,Total,Willoughby,Townhouse,3 Bedrooms,779,870,958,s,177,11.54%,4.82%,-15.79%,33.33%
Total,Greater Sydney,Total,Willoughby,Townhouse,4 or more Bedrooms,-,-,-,-,32,-,-,-,-
Total,Greater Sydney,Total,Willoughby,Flat/Unit,Total,450,540,650,859,"7,352",5.88%,-1.82%,-15.45%,32.97%
Total,Greater Sydney,Total,Willoughby,Flat/Unit,Bedsitter,278,355,376,s,184,1.43%,-7.19%,-23.53%,62.50%
Total,Greater Sydney,Total,Willoughby,Flat/Unit,1 Bedroom,400,470,530,320,"2,358",4.44%,-5.05%,-8.05%,35.02%
Total,Greater Sydney,Total,Willoughby,Flat/Unit,Not Specified,-,-,-,-,189,-,-,-,-
Total,Greater Sydney,Total,Willoughby,Flat/Unit,2 Bedrooms,500,560,660,413,"3,791",1.82%,-6.67%,-20.12%,27.08%
Total,Greater Sydney,Total,Willoughby,Flat/Unit,3 Bedrooms,750,880,1150,92,799,11.04%,2.92%,-16.36%,58.62%
Total,Greater Sydney,Total,Willoughby,Flat/Unit,4 or more Bedrooms,-,-,-,-,31,-,-,-,-
Total,Greater Sydney,Total,Wollondilly,Total,Total,383,450,550,178,"2,370",0.00%,4.65%,-2.20%,-19.09%
Total,Greater Sydney,Total,Wollondilly,Total,Bedsitter,-,-,-,-,s,-,-,-,-
Total,Greater Sydney,Total,Wollondilly,Total,1 Bedroom,-,-,-,-,108,-,-,-,-
Total,Greater Sydney,Total,Wollondilly,Total,Not Specified,-,-,-,-,113,-,-,-,-
Total,Greater Sydney,Total,Wollondilly,Total,2 Bedrooms,341,360,390,40,412,2.86%,5.88%,-14.89%,-6.98%
Total,Greater Sydney,Total,Wollondilly,Total,3 Bedrooms,414,450,510,68,951,0.00%,7.14%,9.68%,-11.69%
Total,Greater Sydney,Total,Wollondilly,Total,4 or more Bedrooms,508,583,671,56,775,5.91%,8.37%,-15.15%,-28.21%
Total,Greater Sydney,Total,Wollondilly,House,Total,410,480,580,141,"1,854",-1.03%,6.67%,0.71%,-20.79%
Total,Greater Sydney,Total,Wollondilly,House,Bedsitter,-,-,-,-,-,-,-,-,-
Total,Greater Sydney,Total,Wollondilly,House,1 Bedroom,-,-,-,-,s,-,-,-,-
Total,Greater Sydney,Total,Wollondilly,House,Not Specified,-,-,-,-,33,-,-,-,-
Total,Greater Sydney,Total,Wollondilly,House,2 Bedrooms,345,360,400,s,199,0.00%,-2.70%,23.53%,23.53%
Total,Greater Sydney,Total,Wollondilly,House,3 Bedrooms,420,450,505,63,858,0.00%,7.14%,8.62%,-16.00%
Total,Greater Sydney,Total,Wollondilly,House,4 or more Bedrooms,514,593,674,54,741,7.73%,9.72%,-16.92%,-29.87%
Total,Greater Sydney,Total,Wollondilly,Other,Total,350,375,560,s,201,-5.66%,-2.60%,10.00%,37.50%
Total,Greater Sydney,Total,Wollondilly,Other,Bedsitter,-,-,-,-,-,-,-,-,-
Total,Greater Sydney,Total,Wollondilly,Other,1 Bedroom,-,-,-,-,s,-,-,-,-
Total,Greater Sydney,Total,Wollondilly,Other,Not Specified,-,-,-,-,72,-,-,-,-
Total,Greater Sydney,Total,Wollondilly,Other,2 Bedrooms,-,-,-,-,36,-,-,-,-
Total,Greater Sydney,Total,Wollondilly,Other,3 Bedrooms,-,-,-,-,39,-,-,-,-
Total,Greater Sydney,Total,Wollondilly,Other,4 or more Bedrooms,-,-,-,-,s,-,-,-,-
Total,Greater Sydney,Total,Wollondilly,Townhouse,Total,-,-,-,-,77,-,-,-,-
Total,Greater Sydney,Total,Wollondilly,Townhouse,Not Specified,-,-,-,-,-,-,-,-,-
Total,Greater Sydney,Total,Wollondilly,Townhouse,2 Bedrooms,-,-,-,-,33,-,-,-,-
Total,Greater Sydney,Total,Wollondilly,Townhouse,3 Bedrooms,-,-,-,-,34,-,-,-,-
Total,Greater Sydney,Total,Wollondilly,Townhouse,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
Total,Greater Sydney,Total,Wollondilly,Flat/Unit,Total,325,360,390,s,238,14.29%,18.03%,-8.70%,-25.00%
Total,Greater Sydney,Total,Wollondilly,Flat/Unit,Bedsitter,-,-,-,-,-,-,-,-,-
Total,Greater Sydney,Total,Wollondilly,Flat/Unit,1 Bedroom,-,-,-,-,65,-,-,-,-
Total,Greater Sydney,Total,Wollondilly,Flat/Unit,Not Specified,-,-,-,-,-,-,-,-,-
Total,Greater Sydney,Total,Wollondilly,Flat/Unit,2 Bedrooms,330,360,390,s,144,5.88%,13.39%,-31.58%,-27.78%
Total,Greater Sydney,Total,Wollondilly,Flat/Unit,3 Bedrooms,-,-,-,-,s,-,-,-,-
Total,Greater Sydney,Total,Wollondilly,Flat/Unit,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
Total,Greater Sydney,Total,Woollahra,Total,Total,500,700,1050,869,"8,957",4.48%,0.00%,-20.49%,1.76%
Total,Greater Sydney,Total,Woollahra,Total,Bedsitter,288,348,413,32,313,15.83%,0.72%,-21.95%,-15.79%
Total,Greater Sydney,Total,Woollahra,Total,1 Bedroom,395,450,550,206,"1,760",2.27%,-2.17%,-17.60%,32.05%
Total,Greater Sydney,Total,Woollahra,Total,Not Specified,-,-,-,-,534,-,-,-,-
Total,Greater Sydney,Total,Woollahra,Total,2 Bedrooms,590,700,820,388,"3,952",4.48%,2.94%,-24.51%,-5.37%
Total,Greater Sydney,Total,Woollahra,Total,3 Bedrooms,975,1250,1600,177,"1,805",5.93%,13.64%,-11.50%,2.31%
Total,Greater Sydney,Total,Woollahra,Total,4 or more Bedrooms,1519,1975,2813,60,593,-1.25%,6.76%,-17.81%,-17.81%
Total,Greater Sydney,Total,Woollahra,House,Total,925,1300,2000,137,"1,189",0.00%,10.64%,-12.18%,-20.35%
Total,Greater Sydney,Total,Woollahra,House,Bedsitter,-,-,-,-,s,-,-,-,-
Total,Greater Sydney,Total,Woollahra,House,1 Bedroom,-,-,-,-,47,-,-,-,-
Total,Greater Sydney,Total,Woollahra,House,Not Specified,-,-,-,-,s,-,-,-,-
Total,Greater Sydney,Total,Woollahra,House,2 Bedrooms,690,830,1100,37,272,-1.78%,0.61%,2.78%,-2.63%
Total,Greater Sydney,Total,Woollahra,House,3 Bedrooms,1055,1325,1838,50,441,6.00%,20.45%,8.70%,-23.08%
Total,Greater Sydney,Total,Woollahra,House,4 or more Bedrooms,1600,2250,3275,43,391,2.27%,21.62%,-25.86%,-25.86%
Total,Greater Sydney,Total,Woollahra,Other,Total,-,-,-,-,754,-,-,-,-
Total,Greater Sydney,Total,Woollahra,Other,Bedsitter,-,-,-,-,68,-,-,-,-
Total,Greater Sydney,Total,Woollahra,Other,1 Bedroom,-,-,-,-,104,-,-,-,-
Total,Greater Sydney,Total,Woollahra,Other,Not Specified,-,-,-,-,278,-,-,-,-
Total,Greater Sydney,Total,Woollahra,Other,2 Bedrooms,-,-,-,-,195,-,-,-,-
Total,Greater Sydney,Total,Woollahra,Other,3 Bedrooms,-,-,-,-,78,-,-,-,-
Total,Greater Sydney,Total,Woollahra,Other,4 or more Bedrooms,-,-,-,-,31,-,-,-,-
Total,Greater Sydney,Total,Woollahra,Townhouse,Total,925,1150,1300,37,626,4.55%,19.48%,-36.21%,-28.85%
Total,Greater Sydney,Total,Woollahra,Townhouse,1 Bedroom,-,-,-,-,s,-,-,-,-
Total,Greater Sydney,Total,Woollahra,Townhouse,Not Specified,-,-,-,-,s,-,-,-,-
Total,Greater Sydney,Total,Woollahra,Townhouse,2 Bedrooms,-,-,-,-,179,-,-,-,-
Total,Greater Sydney,Total,Woollahra,Townhouse,3 Bedrooms,1013,1200,1288,s,316,0.00%,14.29%,-40.00%,-37.93%
Total,Greater Sydney,Total,Woollahra,Townhouse,4 or more Bedrooms,-,-,-,-,80,-,-,-,-
Total,Greater Sydney,Total,Woollahra,Flat/Unit,Total,480,645,825,686,"6,388",3.20%,4.03%,-20.33%,11.00%
Total,Greater Sydney,Total,Woollahra,Flat/Unit,Bedsitter,310,350,398,s,230,16.67%,0.00%,-28.12%,-32.35%
Total,Greater Sydney,Total,Woollahra,Flat/Unit,1 Bedroom,395,450,550,198,"1,579",1.69%,0.00%,-14.66%,38.46%
Total,Greater Sydney,Total,Woollahra,Flat/Unit,Not Specified,-,-,-,-,212,-,-,-,-
Total,Greater Sydney,Total,Woollahra,Flat/Unit,2 Bedrooms,580,692,800,341,"3,306",6.46%,6.46%,-25.55%,-3.40%
Total,Greater Sydney,Total,Woollahra,Flat/Unit,3 Bedrooms,935,1250,1550,109,970,13.64%,25.00%,-11.38%,37.97%
Total,Greater Sydney,Total,Woollahra,Flat/Unit,4 or more Bedrooms,-,-,-,-,91,-,-,-,-
Total,Greater Sydney,Inner Ring,Total,Total,Total,450,575,739,"18,450","1,68,156",3.60%,-3.36%,-18.66%,0.34%
Total,Greater Sydney,Inner Ring,Total,Total,Bedsitter,295,350,400,893,"7,036",0.29%,-4.11%,-21.74%,7.85%
Total,Greater Sydney,Inner Ring,Total,Total,1 Bedroom,395,460,550,"6,639","51,672",2.22%,-4.17%,-16.45%,1.79%
Total,Greater Sydney,Inner Ring,Total,Total,Not Specified,290,400,575,257,"8,993",-4.76%,-20.79%,-7.22%,-25.51%
Total,Greater Sydney,Inner Ring,Total,Total,2 Bedrooms,530,640,750,"7,782","72,618",4.92%,-0.78%,-19.67%,1.85%
Total,Greater Sydney,Inner Ring,Total,Total,3 Bedrooms,750,900,1150,"2,256","21,592",2.86%,4.65%,-19.43%,-3.01%
Total,Greater Sydney,Inner Ring,Total,Total,4 or more Bedrooms,1045,1300,1750,623,"6,245",8.33%,8.33%,-25.03%,-14.07%
Total,Greater Sydney,Inner Ring,Total,House,Total,625,800,1150,"2,191","19,333",0.00%,0.00%,-18.22%,-6.21%
Total,Greater Sydney,Inner Ring,Total,House,Bedsitter,320,450,610,49,295,25.00%,12.50%,-7.55%,-2.00%
Total,Greater Sydney,Inner Ring,Total,House,1 Bedroom,350,450,550,255,"1,612",0.00%,-10.00%,-23.19%,2.41%
Total,Greater Sydney,Inner Ring,Total,House,Not Specified,-,-,-,-,360,-,-,-,-
Total,Greater Sydney,Inner Ring,Total,House,2 Bedrooms,599,685,775,685,"5,723",1.86%,0.00%,-7.43%,3.79%
Total,Greater Sydney,Inner Ring,Total,House,3 Bedrooms,753,900,1150,738,"6,961",0.00%,4.65%,-20.04%,-10.33%
Total,Greater Sydney,Inner Ring,Total,House,4 or more Bedrooms,1100,1400,1863,456,"4,382",12.00%,16.67%,-26.81%,-14.77%
Total,Greater Sydney,Inner Ring,Total,Other,Total,216,328,500,534,"12,947",-12.43%,-35.91%,-32.06%,-19.58%
Total,Greater Sydney,Inner Ring,Total,Other,Bedsitter,66,288,368,138,"1,685",-17.62%,-43.29%,-42.02%,-16.87%
Total,Greater Sydney,Inner Ring,Total,Other,1 Bedroom,200,265,360,202,"2,981",-11.75%,-44.26%,-31.53%,-12.93%
Total,Greater Sydney,Inner Ring,Total,Other,Not Specified,265,393,557,100,"4,779",-1.88%,-24.52%,-6.54%,-23.08%
Total,Greater Sydney,Inner Ring,Total,Other,2 Bedrooms,480,598,718,66,"2,513",13.38%,-3.63%,-40.00%,-35.92%
Total,Greater Sydney,Inner Ring,Total,Other,3 Bedrooms,520,760,880,s,773,1.33%,-8.43%,-30.00%,-8.70%
Total,Greater Sydney,Inner Ring,Total,Other,4 or more Bedrooms,-,-,-,-,216,-,-,-,-
Total,Greater Sydney,Inner Ring,Total,Townhouse,Total,650,800,1000,702,"8,769",0.00%,2.56%,-24.03%,-14.08%
Total,Greater Sydney,Inner Ring,Total,Townhouse,Bedsitter,-,-,-,-,s,-,-,-,-
Total,Greater Sydney,Inner Ring,Total,Townhouse,1 Bedroom,300,460,563,56,553,2.22%,2.22%,3.70%,-8.20%
Total,Greater Sydney,Inner Ring,Total,Townhouse,Not Specified,-,-,-,-,217,-,-,-,-
Total,Greater Sydney,Inner Ring,Total,Townhouse,2 Bedrooms,603,700,810,242,"3,296",4.48%,1.45%,-22.93%,-22.19%
Total,Greater Sydney,Inner Ring,Total,Townhouse,3 Bedrooms,755,880,1050,315,"3,687",-2.22%,-1.12%,-25.88%,-6.53%
Total,Greater Sydney,Inner Ring,Total,Townhouse,4 or more Bedrooms,990,1200,1400,85,993,9.09%,9.09%,-30.33%,-14.14%
Total,Greater Sydney,Inner Ring,Total,Flat/Unit,Total,440,550,685,"15,023","1,27,107",1.85%,0.00%,-17.88%,3.11%
Total,Greater Sydney,Inner Ring,Total,Flat/Unit,Bedsitter,300,350,400,706,"5,033",0.00%,0.00%,-16.65%,15.55%
Total,Greater Sydney,Inner Ring,Total,Flat/Unit,1 Bedroom,400,470,550,"6,126","46,526",2.17%,-2.08%,-15.68%,2.44%
Total,Greater Sydney,Inner Ring,Total,Flat/Unit,Not Specified,300,400,560,145,"3,637",-4.76%,-20.00%,-7.05%,-22.87%
Total,Greater Sydney,Inner Ring,Total,Flat/Unit,2 Bedrooms,520,630,730,"6,789","61,086",5.00%,0.00%,-20.34%,3.38%
Total,Greater Sydney,Inner Ring,Total,Flat/Unit,3 Bedrooms,750,890,1150,"1,182","10,171",4.71%,4.71%,-16.88%,3.41%
Total,Greater Sydney,Inner Ring,Total,Flat/Unit,4 or more Bedrooms,720,1050,1450,75,654,-5.41%,-6.25%,-6.25%,-7.41%
Total,Greater Sydney,Inner Ring,Inner West,Total,Total,380,490,685,"3,272","31,820",-2.00%,-7.55%,-13.78%,6.55%
Total,Greater Sydney,Inner Ring,Inner West,Total,Bedsitter,255,310,360,111,"1,017",3.33%,-3.12%,-7.50%,8.82%
Total,Greater Sydney,Inner Ring,Inner West,Total,1 Bedroom,316,380,460,974,"8,065",0.00%,-3.80%,-8.20%,7.03%
Total,Greater Sydney,Inner Ring,Inner West,Total,Not Specified,258,305,550,56,"2,087",-23.75%,-33.70%,9.80%,-23.29%
Total,Greater Sydney,Inner Ring,Inner West,Total,2 Bedrooms,420,520,650,"1,496","14,153",4.00%,-5.45%,-13.73%,14.46%
Total,Greater Sydney,Inner Ring,Inner West,Total,3 Bedrooms,675,800,930,499,"5,001",0.00%,0.00%,-20.16%,-7.76%
Total,Greater Sydney,Inner Ring,Inner West,Total,4 or more Bedrooms,845,1098,1253,136,"1,497",4.52%,9.75%,-33.33%,-1.45%
Total,Greater Sydney,Inner Ring,Inner West,House,Total,600,750,900,775,"7,207",-1.32%,3.45%,-16.85%,-3.12%
Total,Greater Sydney,Inner Ring,Inner West,House,Bedsitter,-,-,-,-,69,-,-,-,-
Total,Greater Sydney,Inner Ring,Inner West,House,1 Bedroom,300,385,460,69,400,6.94%,-7.23%,7.81%,11.29%
Total,Greater Sydney,Inner Ring,Inner West,House,Not Specified,-,-,-,-,130,-,-,-,-
Total,Greater Sydney,Inner Ring,Inner West,House,2 Bedrooms,570,670,750,289,"2,484",3.08%,0.00%,-0.34%,15.60%
Total,Greater Sydney,Inner Ring,Inner West,House,3 Bedrooms,715,840,950,299,"2,935",1.82%,5.00%,-23.14%,-16.01%
Total,Greater Sydney,Inner Ring,Inner West,House,4 or more Bedrooms,900,1100,1298,107,"1,189",3.53%,10.00%,-39.20%,-6.96%
Total,Greater Sydney,Inner Ring,Inner West,Other,Total,220,305,530,116,"3,180",-17.57%,-27.38%,-4.92%,-15.33%
Total,Greater Sydney,Inner Ring,Inner West,Other,Bedsitter,193,210,279,s,278,-20.00%,-17.32%,200.00%,-5.26%
Total,Greater Sydney,Inner Ring,Inner West,Other,1 Bedroom,180,220,290,37,615,-24.14%,-36.23%,-9.76%,15.63%
Total,Greater Sydney,Inner Ring,Inner West,Other,Not Specified,265,435,609,s,"1,401",6.10%,-5.43%,-12.50%,-44.00%
Total,Greater Sydney,Inner Ring,Inner West,Other,2 Bedrooms,380,450,655,s,629,12.50%,-11.76%,-30.30%,-8.00%
Total,Greater Sydney,Inner Ring,Inner West,Other,3 Bedrooms,-,-,-,-,198,-,-,-,-
Total,Greater Sydney,Inner Ring,Inner West,Other,4 or more Bedrooms,-,-,-,-,59,-,-,-,-
Total,Greater Sydney,Inner Ring,Inner West,Townhouse,Total,628,750,863,188,"2,371",7.14%,4.17%,-22.31%,-16.81%
Total,Greater Sydney,Inner Ring,Inner West,Townhouse,Bedsitter,-,-,-,-,-,-,-,-,-
Total,Greater Sydney,Inner Ring,Inner West,Townhouse,1 Bedroom,405,540,610,s,146,20.00%,25.58%,33.33%,-33.33%
Total,Greater Sydney,Inner Ring,Inner West,Townhouse,Not Specified,-,-,-,-,66,-,-,-,-
Total,Greater Sydney,Inner Ring,Inner West,Townhouse,2 Bedrooms,600,673,750,82,"1,091",5.08%,3.46%,-20.39%,-23.36%
Total,Greater Sydney,Inner Ring,Inner West,Townhouse,3 Bedrooms,750,810,950,77,880,1.25%,-3.57%,-28.04%,-8.33%
Total,Greater Sydney,Inner Ring,Inner West,Townhouse,4 or more Bedrooms,775,1000,1215,s,181,-4.76%,-14.89%,-23.81%,14.29%
Total,Greater Sydney,Inner Ring,Inner West,Flat/Unit,Total,360,430,550,"2,193","19,062",-4.44%,-4.44%,-12.24%,14.94%
Total,Greater Sydney,Inner Ring,Inner West,Flat/Unit,Bedsitter,280,320,373,83,663,6.67%,-3.03%,-17.00%,16.90%
Total,Greater Sydney,Inner Ring,Inner West,Flat/Unit,1 Bedroom,320,380,460,856,"6,904",-2.56%,-3.80%,-9.61%,7.27%
Total,Greater Sydney,Inner Ring,Inner West,Flat/Unit,Not Specified,253,295,359,s,490,-7.09%,-15.71%,44.44%,73.33%
Total,Greater Sydney,Inner Ring,Inner West,Flat/Unit,2 Bedrooms,400,470,595,"1,102","9,949",-2.08%,-6.00%,-15.75%,19.14%
Total,Greater Sydney,Inner Ring,Inner West,Flat/Unit,3 Bedrooms,553,660,850,118,988,-4.00%,-14.29%,-1.67%,28.26%
Total,Greater Sydney,Inner Ring,Inner West,Flat/Unit,4 or more Bedrooms,-,-,-,-,68,-,-,-,-
Total,Greater Sydney,Inner Ring,Lane Cove,Total,Total,430,530,700,567,"5,539",1.44%,-3.64%,-23.99%,6.18%
Total,Greater Sydney,Inner Ring,Lane Cove,Total,Bedsitter,255,295,421,s,70,4.42%,-15.71%,75.00%,27.27%
Total,Greater Sydney,Inner Ring,Lane Cove,Total,1 Bedroom,420,450,500,158,"1,241",0.00%,-4.26%,-16.84%,16.18%
Total,Greater Sydney,Inner Ring,Lane Cove,Total,Not Specified,-,-,-,-,209,-,-,-,-
Total,Greater Sydney,Inner Ring,Lane Cove,Total,2 Bedrooms,440,550,650,280,"2,772",5.77%,-1.79%,-28.93%,5.66%
Total,Greater Sydney,Inner Ring,Lane Cove,Total,3 Bedrooms,680,760,913,83,885,1.33%,0.00%,-20.95%,-1.19%
Total,Greater Sydney,Inner Ring,Lane Cove,Total,4 or more Bedrooms,1245,1500,1850,31,362,15.38%,36.36%,-36.73%,-3.12%
Total,Greater Sydney,Inner Ring,Lane Cove,House,Total,680,860,1500,77,759,-9.47%,1.18%,-9.41%,13.24%
Total,Greater Sydney,Inner Ring,Lane Cove,House,Bedsitter,-,-,-,-,-,-,-,-,-
Total,Greater Sydney,Inner Ring,Lane Cove,House,1 Bedroom,-,-,-,-,s,-,-,-,-
Total,Greater Sydney,Inner Ring,Lane Cove,House,Not Specified,-,-,-,-,s,-,-,-,-
Total,Greater Sydney,Inner Ring,Lane Cove,House,2 Bedrooms,600,633,696,s,102,15.00%,-2.69%,27.27%,55.56%
Total,Greater Sydney,Inner Ring,Lane Cove,House,3 Bedrooms,680,775,900,s,285,-7.19%,-5.49%,20.83%,7.41%
Total,Greater Sydney,Inner Ring,Lane Cove,House,4 or more Bedrooms,1400,1600,1850,s,315,18.52%,33.33%,-32.56%,0.00%
Total,Greater Sydney,Inner Ring,Lane Cove,Other,Total,-,-,-,-,170,-,-,-,-
Total,Greater Sydney,Inner Ring,Lane Cove,Other,Bedsitter,-,-,-,-,s,-,-,-,-
Total,Greater Sydney,Inner Ring,Lane Cove,Other,1 Bedroom,-,-,-,-,s,-,-,-,-
Total,Greater Sydney,Inner Ring,Lane Cove,Other,Not Specified,-,-,-,-,52,-,-,-,-
Total,Greater Sydney,Inner Ring,Lane Cove,Other,2 Bedrooms,-,-,-,-,57,-,-,-,-
Total,Greater Sydney,Inner Ring,Lane Cove,Other,3 Bedrooms,-,-,-,-,s,-,-,-,-
Total,Greater Sydney,Inner Ring,Lane Cove,Other,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
Total,Greater Sydney,Inner Ring,Lane Cove,Townhouse,Total,740,813,909,s,220,12.85%,8.33%,-36.84%,-29.41%
Total,Greater Sydney,Inner Ring,Lane Cove,Townhouse,1 Bedroom,-,-,-,-,-,-,-,-,-
Total,Greater Sydney,Inner Ring,Lane Cove,Townhouse,Not Specified,-,-,-,-,-,-,-,-,-
Total,Greater Sydney,Inner Ring,Lane Cove,Townhouse,2 Bedrooms,-,-,-,-,80,-,-,-,-
Total,Greater Sydney,Inner Ring,Lane Cove,Townhouse,3 Bedrooms,720,800,923,s,113,0.00%,1.27%,0.00%,-21.43%
Total,Greater Sydney,Inner Ring,Lane Cove,Townhouse,4 or more Bedrooms,-,-,-,-,s,-,-,-,-
Total,Greater Sydney,Inner Ring,Lane Cove,Flat/Unit,Total,425,495,620,476,"4,390",-1.00%,-6.60%,-24.92%,7.21%
Total,Greater Sydney,Inner Ring,Lane Cove,Flat/Unit,Bedsitter,249,285,364,s,56,0.88%,-18.57%,50.00%,20.00%
Total,Greater Sydney,Inner Ring,Lane Cove,Flat/Unit,1 Bedroom,420,450,500,154,"1,183",0.00%,-5.26%,-15.38%,17.56%
Total,Greater Sydney,Inner Ring,Lane Cove,Flat/Unit,Not Specified,-,-,-,-,124,-,-,-,-
Total,Greater Sydney,Inner Ring,Lane Cove,Flat/Unit,2 Bedrooms,430,540,650,265,"2,533",3.85%,-1.82%,-28.38%,4.74%
Total,Greater Sydney,Inner Ring,Lane Cove,Flat/Unit,3 Bedrooms,663,740,913,43,466,2.78%,1.02%,-37.68%,2.38%
Total,Greater Sydney,Inner Ring,Lane Cove,Flat/Unit,4 or more Bedrooms,-,-,-,-,s,-,-,-,-
Total,Greater Sydney,Inner Ring,Mosman,Total,Total,460,600,875,408,"4,019",-4.76%,-1.64%,-6.64%,14.29%
Total,Greater Sydney,Inner Ring,Mosman,Total,Bedsitter,-,-,-,-,40,-,-,-,-
Total,Greater Sydney,Inner Ring,Mosman,Total,1 Bedroom,391,430,474,130,"1,177",1.18%,-4.44%,-4.41%,4.00%
Total,Greater Sydney,Inner Ring,Mosman,Total,Not Specified,-,-,-,-,231,-,-,-,-
Total,Greater Sydney,Inner Ring,Mosman,Total,2 Bedrooms,540,628,750,188,"1,715",-3.46%,-3.46%,8.05%,32.39%
Total,Greater Sydney,Inner Ring,Mosman,Total,3 Bedrooms,920,1200,1425,45,568,9.09%,20.00%,-38.36%,-4.26%
Total,Greater Sydney,Inner Ring,Mosman,Total,4 or more Bedrooms,1795,2600,3500,41,288,18.18%,40.54%,0.00%,10.81%
Total,Greater Sydney,Inner Ring,Mosman,House,Total,1290,1850,3100,61,504,23.33%,32.14%,-18.67%,3.39%
Total,Greater Sydney,Inner Ring,Mosman,House,Bedsitter,-,-,-,-,-,-,-,-,-
Total,Greater Sydney,Inner Ring,Mosman,House,1 Bedroom,-,-,-,-,s,-,-,-,-
Total,Greater Sydney,Inner Ring,Mosman,House,Not Specified,-,-,-,-,s,-,-,-,-
Total,Greater Sydney,Inner Ring,Mosman,House,2 Bedrooms,-,-,-,-,48,-,-,-,-
Total,Greater Sydney,Inner Ring,Mosman,House,3 Bedrooms,1225,1290,1650,s,154,-0.77%,9.79%,-34.78%,-25.00%
Total,Greater Sydney,Inner Ring,Mosman,House,4 or more Bedrooms,1809,2675,3575,38,252,20.22%,40.79%,0.00%,22.58%
Total,Greater Sydney,Inner Ring,Mosman,Other,Total,-,-,-,-,222,-,-,-,-
Total,Greater Sydney,Inner Ring,Mosman,Other,Bedsitter,-,-,-,-,-,-,-,-,-
Total,Greater Sydney,Inner Ring,Mosman,Other,1 Bedroom,-,-,-,-,48,-,-,-,-
Total,Greater Sydney,Inner Ring,Mosman,Other,Not Specified,-,-,-,-,84,-,-,-,-
Total,Greater Sydney,Inner Ring,Mosman,Other,2 Bedrooms,-,-,-,-,47,-,-,-,-
Total,Greater Sydney,Inner Ring,Mosman,Other,3 Bedrooms,-,-,-,-,32,-,-,-,-
Total,Greater Sydney,Inner Ring,Mosman,Other,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
Total,Greater Sydney,Inner Ring,Mosman,Townhouse,Total,-,-,-,-,177,-,-,-,-
Total,Greater Sydney,Inner Ring,Mosman,Townhouse,Bedsitter,-,-,-,-,-,-,-,-,-
Total,Greater Sydney,Inner Ring,Mosman,Townhouse,1 Bedroom,-,-,-,-,-,-,-,-,-
Total,Greater Sydney,Inner Ring,Mosman,Townhouse,Not Specified,-,-,-,-,-,-,-,-,-
Total,Greater Sydney,Inner Ring,Mosman,Townhouse,2 Bedrooms,-,-,-,-,42,-,-,-,-
Total,Greater Sydney,Inner Ring,Mosman,Townhouse,3 Bedrooms,-,-,-,-,101,-,-,-,-
Total,Greater Sydney,Inner Ring,Mosman,Townhouse,4 or more Bedrooms,-,-,-,-,s,-,-,-,-
Total,Greater Sydney,Inner Ring,Mosman,Flat/Unit,Total,450,550,695,334,"3,116",-0.90%,0.00%,-0.89%,20.58%
Total,Greater Sydney,Inner Ring,Mosman,Flat/Unit,Bedsitter,-,-,-,-,s,-,-,-,-
Total,Greater Sydney,Inner Ring,Mosman,Flat/Unit,1 Bedroom,394,430,475,128,"1,096",1.18%,-4.44%,-0.78%,5.79%
Total,Greater Sydney,Inner Ring,Mosman,Flat/Unit,Not Specified,-,-,-,-,117,-,-,-,-
Total,Greater Sydney,Inner Ring,Mosman,Flat/Unit,2 Bedrooms,538,625,740,179,"1,578",-3.10%,-3.85%,9.82%,38.76%
Total,Greater Sydney,Inner Ring,Mosman,Flat/Unit,3 Bedrooms,850,1025,1250,s,281,-0.49%,20.59%,-37.84%,21.05%
Total,Greater Sydney,Inner Ring,Mosman,Flat/Unit,4 or more Bedrooms,-,-,-,-,s,-,-,-,-
Total,Greater Sydney,Inner Ring,North Sydney,Total,Total,450,560,750,"1,842","17,419",1.82%,-5.08%,-15.89%,5.14%
Total,Greater Sydney,Inner Ring,North Sydney,Total,Bedsitter,320,350,400,89,600,0.00%,-11.39%,-4.30%,50.85%
Total,Greater Sydney,Inner Ring,North Sydney,Total,1 Bedroom,400,450,520,720,"5,708",2.27%,-5.26%,-15.09%,9.59%
Total,Greater Sydney,Inner Ring,North Sydney,Total,Not Specified,350,400,550,s,778,0.00%,-17.10%,46.15%,-32.14%
Total,Greater Sydney,Inner Ring,North Sydney,Total,2 Bedrooms,550,650,750,735,"7,509",4.84%,0.00%,-19.14%,-1.61%
Total,Greater Sydney,Inner Ring,North Sydney,Total,3 Bedrooms,825,990,1200,241,"2,460",10.00%,5.88%,-16.03%,10.55%
Total,Greater Sydney,Inner Ring,North Sydney,Total,4 or more Bedrooms,1300,1650,1988,38,364,10.37%,3.13%,-5.00%,-11.63%
