Greater Metropolitan Region (GMR),Greater Sydney,Rings,Local Government Area (LGA),Dwelling Types,Number of Bedrooms,"First Quartile Weekly Rent for New Bonds
$","Median Weekly Rent for New Bonds
$","Third Quartile Weekly Rent for New Bonds
$","New Bonds Lodged
No.","Total Bonds Held
No.",Quarterly change in Median Weekly Rent,Annual change in Median Weekly Rent,Quarterly change in New Bonds Lodged,Annual change in New Bonds Lodged
Total,Total,Total,Bathurst Regional,House,3 Bedrooms,360,390,420,114,"1,188",1.30%,11.43%,-16.18%,-8.06%
Total,Total,Total,Bathurst Regional,House,4 or more Bedrooms,430,460,500,98,885,2.22%,6.98%,-5.77%,-11.71%
Total,Total,Total,Bathurst Regional,Other,Total,-,-,-,-,243,-,-,-,-
Total,Total,Total,Bathurst Regional,Other,Bedsitter,-,-,-,-,s,-,-,-,-
Total,Total,Total,Bathurst Regional,Other,1 Bedroom,-,-,-,-,s,-,-,-,-
Total,Total,Total,Bathurst Regional,Other,Not Specified,-,-,-,-,100,-,-,-,-
Total,Total,Total,Bathurst Regional,Other,2 Bedrooms,-,-,-,-,43,-,-,-,-
Total,Total,Total,Bathurst Regional,Other,3 Bedrooms,-,-,-,-,49,-,-,-,-
Total,Total,Total,Bathurst Regional,Other,4 or more Bedrooms,-,-,-,-,s,-,-,-,-
Total,Total,Total,Bathurst Regional,Townhouse,Total,330,350,400,s,225,0.00%,6.06%,-38.10%,-48.00%
Total,Total,Total,Bathurst Regional,Townhouse,1 Bedroom,-,-,-,-,s,-,-,-,-
Total,Total,Total,Bathurst Regional,Townhouse,Not Specified,-,-,-,-,-,-,-,-,-
Total,Total,Total,Bathurst Regional,Townhouse,2 Bedrooms,-,-,-,-,82,-,-,-,-
Total,Total,Total,Bathurst Regional,Townhouse,3 Bedrooms,-,-,-,-,112,-,-,-,-
Total,Total,Total,Bathurst Regional,Townhouse,4 or more Bedrooms,-,-,-,-,s,-,-,-,-
Total,Total,Total,Bathurst Regional,Flat/Unit,Total,270,300,342,101,"1,248",3.45%,6.19%,-30.82%,-14.41%
Total,Total,Total,Bathurst Regional,Flat/Unit,Bedsitter,-,-,-,-,s,-,-,-,-
Total,Total,Total,Bathurst Regional,Flat/Unit,1 Bedroom,220,253,341,s,277,17.44%,17.44%,-46.67%,-25.00%
Total,Total,Total,Bathurst Regional,Flat/Unit,Not Specified,-,-,-,-,60,-,-,-,-
Total,Total,Total,Bathurst Regional,Flat/Unit,2 Bedrooms,280,300,328,62,722,0.00%,5.26%,-20.51%,5.08%
Total,Total,Total,Bathurst Regional,Flat/Unit,3 Bedrooms,350,355,400,s,160,-4.05%,10.08%,-35.00%,-50.00%
